quantity,value
case_id,H2_pub_h0010
local_target_h_mm,0.001
target_h_over_lc,0.06666666666666667
node_count,34508
physical_element_count,33852
layered_element_count,101556
x_node_count,547
y_node_count,63
max_neighbour_size_ratio,1.5
rp_node,34508
deck_sha256,f32d4954d0770935d223ce5625370142b9c40b97aeb65974eb5b71dc20754947
source_sha256,49c9054ab5faec9e069e0a9149af5058e6f1e11ab164c2a0e318f60282309b37
mesh_sha256,f32d4954d0770935d223ce5625370142b9c40b97aeb65974eb5b71dc20754947
quality_max_aspect_ratio,25.000000000001368
quality_negative_jacobian_count,0
quality_positive_orientation_fraction,1.0
quality_corridor_element_count,5200
quality_actual_local_h_corridor_median,0.0010000000000000009
quality_actual_local_h_corridor_mean,0.001000000035
quality_actual_local_h_corridor_min,0.0009999999999999454
quality_actual_local_h_corridor_max,0.0010000007
edge_length_all_min,0.0009999999999999454
edge_length_all_median,0.0010000000000000009
edge_length_all_mean,0.008980267044783174
edge_length_all_max,0.025
actual_local_h_corridor_min,0.0009999999999999454
actual_local_h_corridor_median,0.0010000000000000009
actual_local_h_corridor_mean,0.001000000035
actual_local_h_corridor_max,0.0010000007
corridor_h_over_lc_median,0.06666666666666674
corridor_element_count,5200
max_aspect_ratio,25.000000000001368
negative_jacobian_count,0
positive_orientation_fraction,1.0
mesh_nodes_sha256,1b3f9649a2df101c232f114618fe6c6dd819a3959a321814c06d801cb06b8bdc
mesh_elements_sha256,d68d1ec2a194891845ef637ae100c527e574e982a6c45d420bf4d838a02c969c
