index,y0_mm,y1_mm,dy_mm
1,-0.5,-0.4752504596,0.0247495404
2,-0.4752504596,-0.4505009192,0.0247495404
3,-0.4505009192,-0.4257513788,0.0247495404
4,-0.4257513788,-0.4010018384,0.0247495404
5,-0.4010018384,-0.376252298,0.0247495404
6,-0.376252298,-0.3515027576,0.0247495404
7,-0.3515027576,-0.3267532172,0.0247495404
8,-0.3267532172,-0.3020036768,0.0247495404
9,-0.3020036768,-0.2772541364,0.0247495404
10,-0.2772541364,-0.252504596,0.0247495404
11,-0.252504596,-0.2277550556,0.0247495404
12,-0.2277550556,-0.2030055152,0.0247495404
13,-0.2030055152,-0.1782559748,0.0247495404
14,-0.1782559748,-0.1535064344,0.0247495404
15,-0.1535064344,-0.128756894,0.0247495404
16,-0.128756894,-0.1040073536,0.0247495404
17,-0.1040073536,-0.0792578132,0.0247495404
18,-0.0792578132,-0.0542578132,0.025
19,-0.0542578132,-0.0371718757,0.0170859375
20,-0.0371718757,-0.0257812507,0.011390625
21,-0.0257812507,-0.0181875007,0.00759375
22,-0.0181875007,-0.0131250007,0.0050625
23,-0.0131250007,-0.0097500007,0.003375
24,-0.0097500007,-0.0075000007,0.00225
25,-0.0075000007,-0.0060000007,0.0015
26,-0.0060000007,-0.0050000007,0.001
27,-0.0050000007,-0.0040000007,0.001
28,-0.0040000007,-0.0030000007,0.001
29,-0.0030000007,-0.0020000007,0.001
30,-0.0020000007,-0.0010000007,0.001
31,-0.0010000007,0.0,0.0010000007
32,0.0,0.001,0.001
33,0.001,0.002,0.001
34,0.002,0.003,0.001
35,0.003,0.004,0.001
36,0.004,0.005,0.001
37,0.005,0.006,0.001
38,0.006,0.0075,0.0015
39,0.0075,0.00975,0.00225
40,0.00975,0.013125,0.003375
41,0.013125,0.0181875,0.0050625
42,0.0181875,0.02578125,0.00759375
43,0.02578125,0.037171875,0.011390625
44,0.037171875,0.0542578125,0.0170859375
45,0.0542578125,0.0792578125,0.025
46,0.0792578125,0.1040073529,0.0247495404
47,0.1040073529,0.1287568933,0.0247495404
48,0.1287568933,0.1535064337,0.0247495404
49,0.1535064337,0.1782559741,0.0247495404
50,0.1782559741,0.2030055145,0.0247495404
51,0.2030055145,0.2277550549,0.0247495404
52,0.2277550549,0.2525045953,0.0247495404
53,0.2525045953,0.2772541357,0.0247495404
54,0.2772541357,0.3020036761,0.0247495404
55,0.3020036761,0.3267532165,0.0247495404
56,0.3267532165,0.3515027569,0.0247495404
57,0.3515027569,0.3762522973,0.0247495404
58,0.3762522973,0.4010018377,0.0247495404
59,0.4010018377,0.4257513781,0.0247495404
60,0.4257513781,0.4505009185,0.0247495404
61,0.4505009185,0.4752504589,0.0247495404
62,0.4752504589,0.5,0.0247495411
