point_id,u_mm,RF_kN,classification,note
1,0.00000000,0.00000000,approximate_digitized_publication_reference,manual_trace_calibrated_from_300dpi_crop_no_offset
2,0.00048711,0.07614880,approximate_digitized_publication_reference,manual_trace_calibrated_from_300dpi_crop_no_offset
3,0.00097423,0.15492341,approximate_digitized_publication_reference,manual_trace_calibrated_from_300dpi_crop_no_offset
4,0.00146134,0.23107221,approximate_digitized_publication_reference,manual_trace_calibrated_from_300dpi_crop_no_offset
5,0.00194845,0.30984683,approximate_digitized_publication_reference,manual_trace_calibrated_from_300dpi_crop_no_offset
6,0.00243557,0.38599562,approximate_digitized_publication_reference,manual_trace_calibrated_from_300dpi_crop_no_offset
7,0.00292268,0.46477024,approximate_digitized_publication_reference,manual_trace_calibrated_from_300dpi_crop_no_offset
8,0.00340979,0.54091904,approximate_digitized_publication_reference,manual_trace_calibrated_from_300dpi_crop_no_offset
9,0.00389691,0.59343545,approximate_digitized_publication_reference,manual_trace_calibrated_from_300dpi_crop_no_offset
10,0.00438402,0.62494530,approximate_digitized_publication_reference,manual_trace_calibrated_from_300dpi_crop_no_offset
11,0.00481701,0.64595186,approximate_digitized_publication_reference,manual_trace_calibrated_from_300dpi_crop_no_offset
12,0.00526804,0.66958425,approximate_digitized_publication_reference,manual_trace_calibrated_from_300dpi_crop_no_offset
13,0.00558376,0.69059081,approximate_digitized_publication_reference,manual_trace_calibrated_from_300dpi_crop_no_offset
14,0.00576418,0.69059081,approximate_digitized_publication_reference,manual_trace_calibrated_from_300dpi_crop_no_offset
15,0.00584536,0.57242888,approximate_digitized_publication_reference,manual_trace_calibrated_from_300dpi_crop_no_offset
16,0.00593557,0.41487965,approximate_digitized_publication_reference,manual_trace_calibrated_from_300dpi_crop_no_offset
17,0.00602577,0.23107221,approximate_digitized_publication_reference,manual_trace_calibrated_from_300dpi_crop_no_offset
18,0.00615206,0.00000000,approximate_digitized_publication_reference,manual_trace_calibrated_from_300dpi_crop_no_offset
