step,frame,U2,RF2
origin,0,0.0,0.0
Step-1,0,0.0,-0.0
Step-1,10,9.99999974738e-05,0.0134437931702
Step-1,20,0.000199999994948,0.0268855728209
Step-1,30,0.000300000014249,0.0403230115771
Step-1,40,0.000399999989895,0.0537537932396
Step-1,50,0.000500000023749,0.0671755895019
Step-1,60,0.000600000028498,0.0805860832334
Step-1,70,0.000699999975041,0.0939829498529
Step-1,80,0.00079999997979,0.10736387223
Step-1,90,0.00089999998454,0.120726540685
Step-1,100,0.0010000000475,0.134068638086
Step-1,110,0.00109999999404,0.147387832403
Step-1,120,0.001200000057,0.160681843758
Step-1,130,0.00130000000354,0.173948332667
Step-1,140,0.00139999995008,0.187185019255
Step-1,150,0.00150000001304,0.200389578938
Step-1,160,0.00159999995958,0.213559731841
Step-1,170,0.00170000002254,0.226693153381
Step-1,180,0.00179999996908,0.23978754878
Step-1,190,0.00190000003204,0.252840638161
Step-1,200,0.00200000009499,0.265850096941
Step-1,210,0.00209999992512,0.278813630342
Step-1,220,0.00219999998808,0.291728973389
Step-1,230,0.00230000005104,0.304593801498
Step-1,240,0.00240000011399,0.317405819893
Step-1,250,0.00249999994412,0.330162674189
Step-1,260,0.00260000000708,0.342862129211
Step-1,270,0.00270000007004,0.355501830578
Step-1,280,0.00279999990016,0.368079423904
Step-1,290,0.00289999996312,0.38059258461
Step-1,300,0.00300000002608,0.393038988113
Step-1,310,0.00310000008903,0.405416220427
Step-1,320,0.00319999991916,0.417721867561
Step-1,330,0.00329999998212,0.429953545332
Step-1,340,0.00340000004508,0.442108750343
Step-1,350,0.00350000010803,0.454185009003
Step-1,360,0.00359999993816,0.46617975831
Step-1,370,0.00370000000112,0.478090375662
Step-1,380,0.00380000006407,0.489914178848
Step-1,390,0.0038999998942,0.501648426056
Step-1,400,0.00400000018999,0.513290166855
Step-1,410,0.00410000002012,0.524836480618
Step-1,420,0.00419999985024,0.536284148693
Step-1,430,0.00430000014603,0.547629833221
Step-1,440,0.00439999997616,0.558869957924
Step-1,450,0.00449999980628,0.570000529289
Step-1,460,0.00460000010207,0.581017374992
Step-1,470,0.0046999999322,0.591915667057
Step-1,480,0.00480000022799,0.602690041065
Step-1,490,0.00490000005811,0.613334298134
Step-1,500,0.00499999988824,0.623840987682
Step-2,0,0.00499999988824,0.623840987682
Step-2,100,0.00510000018403,0.633714914322
Step-2,200,0.00520000001416,0.643867969513
Step-2,300,0.00529999984428,0.65383374691
Step-2,400,0.00540000014007,0.663582324982
Step-2,500,0.0054999999702,0.673063337803
Step-2,600,0.00559999980032,0.68217509985
Step-2,700,0.00570000009611,0.690632998943
Step-2,800,0.00579999992624,0.696335971355
Step-2,900,0.00590000022203,0.609307289124
Step-2,1000,0.00600000005215,0.494858711958
Step-2,1100,0.00609999988228,0.357971668243
Step-2,1200,0.00620000017807,0.198590382934
Step-2,1300,0.0063000000082,0.000163593926118
Step-2,1400,0.00639999983832,0.000162247306434
Step-2,1500,0.00650000013411,0.000161034971825
Step-2,1600,0.00659999996424,0.00015994849673
Step-2,1700,0.00669999979436,0.000158978975378
Step-2,1800,0.00680000009015,0.000158118360559
Step-2,1900,0.00689999992028,0.000157359769219
Step-2,2000,0.00700000021607,0.000156695779879
