model,U,threshold,n_damaged,damaged_fraction,extension,tip_x,tip_y,init_x,init_y,centerline_n
H1,0.004,0.5,0,0.0,0.0,,,,,0
H1,0.004,0.95,0,0.0,0.0,,,,,0
H1,0.005,0.5,0,0.0,0.0,,,,,0
H1,0.005,0.95,0,0.0,0.0,,,,,0
H1,0.0058,0.5,40,0.0008289124668435014,0.007499999948777258,0.006249999860301614,-0.003750000847503543,0.0012499999720603228,0.0012499999720603228,4
H1,0.0058,0.95,0,0.0,0.0,,,,,0
H1,0.0062,0.5,5525,0.11449353448275862,0.33749999944120646,0.32874999940395355,-0.00125000043772161,0.0012499999720603228,0.0012499999720603228,136
H1,0.0062,0.95,1262,0.026152188328912467,0.3050000084331259,0.30375000834465027,-0.00125000043772161,0.0012499999720603228,0.0012499999720603228,123
H1,0.007,0.5,8732,0.18095159151193635,0.5075000012293458,0.4987500011920929,-0.031640625558793545,0.0012499999720603228,0.0012499999720603228,204
H1,0.007,0.95,2241,0.04643982095490716,0.5000000012805685,0.4987500011920929,-0.009375000605359674,0.0012499999720603228,0.0012499999720603228,201
C2F_V3,0.004,0.5,0,0.0,0.0,,,,,0
C2F_V3,0.004,0.95,0,0.0,0.0,,,,,0
C2F_V3,0.005,0.5,0,0.0,0.0,,,,,0
C2F_V3,0.005,0.95,0,0.0,0.0,,,,,0
C2F_V3,0.0058,0.5,102,0.002478134110787172,0.010004346171626821,0.00791778089478612,-0.004118571290746331,-0.00041801101178862154,-0.00017518999811727554,6
C2F_V3,0.0058,0.95,0,0.0,0.0,,,,,0
C2F_V3,0.0062,0.5,2231,0.054203109815354714,0.49485846096649766,0.4877697229385376,-0.021703463047742844,-0.00041801101178862154,-0.00017518999811727554,40
C2F_V3,0.0062,0.95,434,0.01054421768707483,0.4637271798274014,0.4633091688156128,-0.001606443736818619,-0.00041801101178862154,-0.00017518999811727554,36
C2F_V3,0.007,0.5,2247,0.05459183673469388,0.49485846096649766,0.4877697229385376,-0.026727719232439995,-0.00041801101178862154,-0.00017518999811727554,40
C2F_V3,0.007,0.95,464,0.011273080660835762,0.4881877339503262,0.4877697229385376,-0.0066306989174336195,-0.00041801101178862154,-0.00017518999811727554,37
C2F_V3_REPEAT,0.004,0.5,0,0.0,0.0,,,,,0
C2F_V3_REPEAT,0.004,0.95,0,0.0,0.0,,,,,0
C2F_V3_REPEAT,0.005,0.5,0,0.0,0.0,,,,,0
C2F_V3_REPEAT,0.005,0.95,0,0.0,0.0,,,,,0
C2F_V3_REPEAT,0.0058,0.5,102,0.002478134110787172,0.010004346171626821,0.00791778089478612,-0.004118571290746331,-0.00041801101178862154,-0.00017518999811727554,6
C2F_V3_REPEAT,0.0058,0.95,0,0.0,0.0,,,,,0
C2F_V3_REPEAT,0.0062,0.5,2231,0.054203109815354714,0.49485846096649766,0.4877697229385376,-0.021703463047742844,-0.00041801101178862154,-0.00017518999811727554,40
C2F_V3_REPEAT,0.0062,0.95,434,0.01054421768707483,0.4637271798274014,0.4633091688156128,-0.001606443736818619,-0.00041801101178862154,-0.00017518999811727554,36
C2F_V3_REPEAT,0.007,0.5,2247,0.05459183673469388,0.49485846096649766,0.4877697229385376,-0.026727719232439995,-0.00041801101178862154,-0.00017518999811727554,40
C2F_V3_REPEAT,0.007,0.95,464,0.011273080660835762,0.4881877339503262,0.4877697229385376,-0.0066306989174336195,-0.00041801101178862154,-0.00017518999811727554,37
