U2,RF2
0,0
9.9999997e-05,0.0134440287948
0.000199999995,0.0268860440701
0.000300000014,0.0403237231076
0.00039999999,0.0537547394633
0.000500000024,0.0671767741442
0.000600000028,0.0805875062943
0.000699999975,0.0939846113324
0.00079999998,0.107365779579
0.000899999985,0.120728693902
0.001000000047,0.134071022272
0.001099999994,0.14739048481
0.001200000057,0.160684734583
0.001300000004,0.173951491714
0.00139999995,0.187188431621
0.001500000013,0.200393259525
0.00159999996,0.213563680649
0.001700000023,0.22669737041
0.001799999969,0.239792063832
0.001900000032,0.252845436335
0.002000000095,0.265855193138
0.002099999925,0.278819054365
0.002199999988,0.291734695435
0.002300000051,0.30459985137
0.002400000114,0.31741219759
0.002499999944,0.330169439316
0.002600000007,0.342869281769
0.00270000007,0.355509340763
0.0027999999,0.368087381124
0.002899999963,0.380600988865
0.003000000026,0.393047839403
0.003100000089,0.405425578356
0.003199999919,0.417731761932
0.003299999982,0.429964005947
0.003400000045,0.442119836807
0.003500000108,0.45419678092
0.003599999938,0.466192245483
0.003700000001,0.478103667498
0.003800000064,0.489928364754
0.003899999894,0.501663565636
0.00400000019,0.513306379318
0.00410000002,0.524853885174
0.00419999985,0.536302924156
0.004300000146,0.547650098801
0.004399999976,0.558891892433
0.004499999806,0.570024490356
0.004600000102,0.581043541431
0.004699999932,0.591944515705
0.004800000228,0.602721989155
0.004900000058,0.613369882107
0.004999999888,0.623881042004
0.005100000184,0.633764147758
0.005200000014,0.643925726414
0.005299999844,0.653903245926
0.00540000014,0.663668930531
0.00549999997,0.673177421093
0.0055999998,0.682341575623
0.005700000096,0.690941214561
0.005799999926,0.697903215885
0.005900000222,0.639565885067
0.006000000052,0.506376862526
0.006099999882,0.32539576292
0.006200000178,0.057544991374
0.006300000008,0.00020261296595
0.006399999838,0.000200193360797
0.006500000134,0.000198002089746
0.006599999964,0.000196022825548
0.006699999794,0.000194240637938
0.00680000009,0.000192641848116
0.00689999992,0.000191213883227
0.007000000216,0.000189945247257
