left_frame,right_frame,phase_node_coverage,ip_coverage,phase_decrease_count,H_decrease_count,below_lower_bound_count,maximum_phase_decrease,maximum_H_decrease,maximum_phase_increase,normalized_L2_phase_change
F3_release_last,F4_segment_initial,6601,25600,0,0,0,0.0,0.0,0.0,0.0
F4_segment_initial,F4_segment_inc_001,6601,25600,0,0,0,0.0,0.0,1.6320377049794388e-08,4.5865760833098243e-10
F4_segment_inc_001,F4_segment_inc_002,6601,25600,0,0,0,0.0,0.0,0.00025100690931338654,1.0432645070499035e-05
F4_segment_inc_002,F4_segment_inc_003,6601,25600,0,0,0,0.0,0.0,0.0002568783295358035,1.1457432163867616e-05
F4_segment_inc_003,F4_segment_inc_004,6601,25600,0,0,0,0.0,0.0,0.00027660361330364425,1.2377209773266564e-05
F4_segment_inc_004,F4_segment_inc_005,6601,25600,0,0,0,0.0,0.0,0.0002798528371120296,1.2760498272506017e-05
F4_segment_inc_005,F4_segment_inc_006,6601,25600,0,0,0,0.0,0.0,0.00028256332384293814,1.3108109338088314e-05
F4_segment_inc_006,F4_segment_inc_007,6601,25600,0,0,0,0.0,0.0,0.0002855469391326304,1.356838471920426e-05
F4_segment_inc_007,F4_segment_inc_008,6601,25600,0,0,0,0.0,0.0,0.00028844514919187936,1.3977604421451083e-05
F4_segment_inc_008,F4_segment_inc_009,6601,25600,0,0,0,0.0,0.0,0.0002902374770265004,1.4244855117249136e-05
F4_segment_inc_009,F4_segment_end,6601,25600,0,0,0,0.0,0.0,0.0002917352067352691,1.4446599956963179e-05
