frame_tag,role,node_coverage,ip_coverage,non_positive_detJ,free_residual_inf,minimum_active_multiplier,active_bound_error,active_nodes_below_tol,kkt_ok,scientific_active_multiplier_violation,analysis_ok,failures
F3_release_last,baseline,6601,25600,0,7.161663569035109e-19,-7.758084222140432e-08,6.938893903907228e-18,30,False,True,True,active_multiplier
F4_segment_initial,continuation,6601,25600,0,7.161663569035109e-19,-7.758084222140432e-08,6.938893903907228e-18,30,False,True,True,active_multiplier
F4_segment_inc_001,continuation,6601,25600,0,2.541098841762901e-21,-7.758115581282239e-08,6.938893903907228e-18,30,False,True,True,active_multiplier
F4_segment_inc_002,continuation,6601,25600,0,3.60713084251115e-12,-8.692616583631587e-08,1.3877787807814457e-17,63,False,True,True,active_multiplier
F4_segment_inc_003,continuation,6601,25600,0,5.929344209428e-13,-9.683045817170588e-08,1.3877787807814457e-17,137,False,True,True,active_multiplier
F4_segment_inc_004,continuation,6601,25600,0,5.505714157152952e-21,-1.072570343275791e-07,6.938893903907228e-18,522,False,True,True,active_multiplier
F4_segment_inc_005,continuation,6601,25600,0,6.762102034189258e-14,-1.1786164173074067e-07,1.3877787807814457e-17,1857,False,True,True,active_multiplier
F4_segment_inc_006,continuation,6601,25600,0,5.082197683525802e-21,-1.2860305333607142e-07,1.3877787807814457e-17,2571,False,True,True,active_multiplier
F4_segment_inc_007,continuation,6601,25600,0,7.343408463912149e-14,-1.3943126995681987e-07,8.673617379884035e-18,2809,False,True,True,active_multiplier
F4_segment_inc_008,continuation,6601,25600,0,3.8116482626443515e-21,-1.5351793354959651e-07,8.673617379884035e-18,2952,False,True,True,active_multiplier
F4_segment_inc_009,continuation,6601,25600,0,4.2198363833656906e-14,-1.683533419667727e-07,6.938893903907228e-18,3083,False,True,True,active_multiplier
F4_segment_end,continuation,6601,25600,0,2.541098841762901e-21,-1.8326844734391126e-07,6.938893903907228e-18,3157,False,True,True,active_multiplier
