step,frame_index,frame_id,increment_number,step_time,total_time,U2,RF2,distance_to_target,pre_peak
Step-1,0,0,0,0.0,0.0,0.0,-0.0,0.003,True
Step-1,1,10,10,0.009999999776482582,0.009999999776482582,9.999999747378752e-05,0.013491503894329071,0.0029000000025262125,True
Step-1,2,20,20,0.019999999552965164,0.019999999552965164,0.00019999999494757503,0.026980997994542122,0.002800000005052425,True
Step-1,3,30,30,0.029999999329447746,0.029999999329447746,0.0003000000142492354,0.04046616330742836,0.0026999999857507647,True
Step-1,4,40,40,0.03999999910593033,0.03999999910593033,0.00039999998989515007,0.05394468083977699,0.00260000001010485,True
Step-1,5,50,50,0.05000000074505806,0.05000000074505806,0.0005000000237487257,0.06741423904895782,0.0024999999762512744,True
Step-1,6,60,60,0.05999999865889549,0.05999999865889549,0.0006000000284984708,0.08087251335382462,0.0023999999715015293,True
Step-1,7,70,70,0.07000000029802322,0.07000000029802322,0.000699999975040555,0.09431719034910202,0.002300000024959445,True
Step-1,8,80,80,0.07999999821186066,0.07999999821186066,0.0007999999797903001,0.10774596780538559,0.0022000000202097,True
Step-1,9,90,90,0.09000000357627869,0.09000000357627869,0.0008999999845400453,0.12115652859210968,0.002100000015459955,True
Step-1,10,100,100,0.10000000149011612,0.10000000149011612,0.0010000000474974513,0.13454656302928925,0.0019999999525025488,True
Step-1,11,110,110,0.10999999940395355,0.10999999940395355,0.0010999999940395355,0.14791375398635864,0.0019000000059604645,True
Step-1,12,120,120,0.11999999731779099,0.11999999731779099,0.0012000000569969416,0.1612558215856552,0.0017999999430030585,True
Step-1,13,130,130,0.12999999523162842,0.12999999523162842,0.0013000000035390258,0.1745704561471939,0.0016999999964609743,True
Step-1,14,140,140,0.14000000059604645,0.14000000059604645,0.00139999995008111,0.18785534799098969,0.00160000004991889,True
Step-1,15,150,150,0.15000000596046448,0.15000000596046448,0.001500000013038516,0.20110821723937988,0.001499999986961484,True
Step-1,16,160,160,0.1599999964237213,0.1599999964237213,0.0015999999595806003,0.21432676911354065,0.0014000000404193998,True
Step-1,17,170,170,0.17000000178813934,0.17000000178813934,0.0017000000225380063,0.22750870883464813,0.0012999999774619938,True
Step-1,18,180,180,0.18000000715255737,0.18000000715255737,0.0017999999690800905,0.24065175652503967,0.0012000000309199095,True
Step-1,19,190,190,0.1899999976158142,0.1899999976158142,0.0019000000320374966,0.2537536323070526,0.0010999999679625035,True
Step-1,20,200,200,0.20000000298023224,0.20000000298023224,0.0020000000949949026,0.2668120265007019,0.0009999999050050975,True
Step-1,21,210,210,0.20999999344348907,0.20999999344348907,0.002099999925121665,0.2798246741294861,0.0009000000748783351,True
Step-1,22,220,220,0.2199999988079071,0.2199999988079071,0.002199999988079071,0.2927893102169037,0.000800000011920929,True
Step-1,23,230,230,0.23000000417232513,0.23000000417232513,0.002300000051036477,0.30570363998413086,0.000699999948963523,True
Step-1,24,240,240,0.23999999463558197,0.23999999463558197,0.002400000113993883,0.31856539845466614,0.0005999998860061169,True
Step-1,25,250,250,0.25,0.25,0.0024999999441206455,0.3313722610473633,0.0005000000558793545,True
Step-1,26,260,260,0.25999999046325684,0.25999999046325684,0.0026000000070780516,0.3441220223903656,0.0003999999929219485,True
Step-1,27,270,270,0.27000001072883606,0.27000001072883606,0.0027000000700354576,0.3568122982978821,0.00029999992996454245,True
Step-1,28,280,280,0.2800000011920929,0.2800000011920929,0.00279999990016222,0.36944085359573364,0.00020000009983778006,True
Step-1,29,290,290,0.28999999165534973,0.28999999165534973,0.002899999963119626,0.38200539350509644,0.00010000003688037402,True
Step-1,30,300,300,0.30000001192092896,0.30000001192092896,0.003000000026077032,0.39450356364250183,2.6077032026783353e-11,True
Step-1,31,310,310,0.3100000023841858,0.3100000023841858,0.003100000089034438,0.406933069229126,0.00010000008903443807,True
Step-1,32,320,320,0.3199999928474426,0.3199999928474426,0.0031999999191612005,0.41929155588150024,0.00019999991916120046,True
Step-1,33,330,330,0.33000001311302185,0.33000001311302185,0.0032999999821186066,0.4315766990184784,0.0002999999821186065,True
Step-1,34,340,340,0.3400000035762787,0.3400000035762787,0.0034000000450760126,0.44378602504730225,0.00040000004507601255,True
Step-1,35,350,350,0.3499999940395355,0.3499999940395355,0.0035000001080334187,0.45591720938682556,0.0005000001080334186,True
Step-1,36,360,360,0.36000001430511475,0.36000001430511475,0.003599999938160181,0.4679677486419678,0.000599999938160181,True
Step-1,37,370,370,0.3700000047683716,0.3700000047683716,0.003700000001117587,0.4799351692199707,0.000700000001117587,True
Step-1,38,380,380,0.3799999952316284,0.3799999952316284,0.003800000064074993,0.491816908121109,0.0008000000640749931,True
Step-1,39,390,390,0.38999998569488525,0.38999998569488525,0.0038999998942017555,0.503610372543335,0.0008999998942017555,True
Step-1,40,400,400,0.4000000059604645,0.4000000059604645,0.004000000189989805,0.5153128504753113,0.0010000001899898052,True
Step-1,41,410,410,0.4099999964237213,0.4099999964237213,0.004100000020116568,0.5269216299057007,0.0011000000201165675,True
Step-1,42,420,420,0.41999998688697815,0.41999998688697815,0.00419999985024333,0.5384337306022644,0.00119999985024333,True
Step-1,43,430,430,0.4300000071525574,0.4300000071525574,0.00430000014603138,0.5498462319374084,0.0013000001460313796,True
Step-1,44,440,440,0.4399999976158142,0.4399999976158142,0.004399999976158142,0.5611558556556702,0.001399999976158142,True
Step-1,45,450,450,0.44999998807907104,0.44999998807907104,0.0044999998062849045,0.5723593235015869,0.0014999998062849044,True
Step-1,46,460,460,0.46000000834465027,0.46000000834465027,0.004600000102072954,0.5834529995918274,0.0016000001020729541,True
Step-1,47,470,470,0.4699999988079071,0.4699999988079071,0.004699999932199717,0.5944328904151917,0.0016999999321997165,True
Step-1,48,480,480,0.47999998927116394,0.47999998927116394,0.004800000227987766,0.6052948236465454,0.0018000002279877662,True
Step-1,49,490,490,0.49000000953674316,0.49000000953674316,0.004900000058114529,0.6160339713096619,0.0019000000581145286,True
Step-1,50,500,500,0.5,0.5,0.004999999888241291,0.626645028591156,0.001999999888241291,True
Step-2,0,0,0,0.0,0.5,0.004999999888241291,0.626645028591156,0.001999999888241291,True
Step-2,1,100,100,0.009999999776482582,0.5099999997764826,0.005100000184029341,0.6366771459579468,0.0021000001840293407,True
Step-2,2,200,200,0.019999999552965164,0.5199999995529652,0.005200000014156103,0.6469787359237671,0.002200000014156103,True
Step-2,3,300,300,0.029999999329447746,0.5299999993294477,0.0052999998442828655,0.6571242809295654,0.0022999998442828655,True
Step-2,4,400,400,0.03999999910593033,0.5399999991059303,0.005400000140070915,0.6671009659767151,0.002400000140070915,True
Step-2,5,500,500,0.05000000074505806,0.5500000007450581,0.005499999970197678,0.6768917441368103,0.0024999999701976775,True
Step-2,6,600,600,0.05999999865889549,0.5599999986588955,0.00559999980032444,0.6864728331565857,0.00259999980032444,True
Step-2,7,700,700,0.07000000029802322,0.5700000002980232,0.00570000009611249,0.6958088874816895,0.0027000000961124896,True
Step-2,8,800,800,0.07999999821186066,0.5799999982118607,0.005799999926239252,0.7048419713973999,0.002799999926239252,True
Step-2,9,900,900,0.09000000357627869,0.5900000035762787,0.005900000222027302,0.7134620547294617,0.0029000002220273017,True
Step-2,10,1000,1000,0.10000000149011612,0.6000000014901161,0.006000000052154064,0.7214058637619019,0.003000000052154064,True
Step-2,11,1100,1100,0.10999999940395355,0.6099999994039536,0.006099999882280827,0.7276078462600708,0.0030999998822808265,False
Step-2,12,1200,1200,0.11999999731779099,0.619999997317791,0.006200000178068876,0.6716503500938416,0.003200000178068876,False
Step-2,13,1300,1300,0.12999999523162842,0.6299999952316284,0.006300000008195639,0.5221438407897949,0.0033000000081956386,False
Step-2,14,1400,1400,0.14000000059604645,0.6400000005960464,0.006399999838322401,0.35079485177993774,0.003399999838322401,False
Step-2,15,1500,1500,0.15000000596046448,0.6500000059604645,0.006500000134110451,0.14565366506576538,0.0035000001341104507,False
Step-2,16,1600,1600,0.1599999964237213,0.6599999964237213,0.006599999964237213,0.0015150647377595305,0.003599999964237213,False
Step-2,17,1700,1700,0.17000000178813934,0.6700000017881393,0.0066999997943639755,0.0014831185108050704,0.0036999997943639755,False
Step-2,18,1800,1800,0.18000000715255737,0.6800000071525574,0.006800000090152025,0.001452515833079815,0.003800000090152025,False
Step-2,19,1900,1900,0.1899999976158142,0.6899999976158142,0.006899999920278788,0.0014232522808015347,0.0038999999202787876,False
Step-2,20,2000,2000,0.20000000298023224,0.7000000029802322,0.007000000216066837,0.0013952305307611823,0.004000000216066837,False
