step,frame_index,frame_id,total_time,U2,RF2,incremental_signed_work,cumulative_signed_work,cumulative_absolute_loading_work
Step-1,0,0,0.0,0.0,-0.0,0.0,0.0,0.0
Step-1,1,10,0.009999999776482582,9.999999747378752e-05,0.013491503894329071,6.745751776752508e-07,6.745751776752508e-07,6.745751776752508e-07
Step-1,2,20,0.019999999552965164,0.00019999999494757503,0.026980997994542122,2.02362504332249e-06,2.6982002209977407e-06,2.6982002209977407e-06
Step-1,3,30,0.029999999329447746,0.0003000000142492354,0.04046616330742836,3.372358716019624e-06,6.0705589370173646e-06,6.0705589370173646e-06
Step-1,4,40,0.03999999910593033,0.00039999998989515007,0.05394468083977699,4.720541057715391e-06,1.0791099994732755e-05,1.0791099994732755e-05
Step-1,5,50,0.05000000074505806,0.0005000000237487257,0.06741423904895782,6.067948048653425e-06,1.685904804338618e-05,1.685904804338618e-05
Step-1,6,60,0.05999999865889549,0.0006000000284984708,0.08087251335382462,7.414337972301262e-06,2.4273386015687442e-05,2.4273386015687442e-05
Step-1,7,70,0.07000000029802322,0.000699999975040555,0.09431719034910202,8.759480502508118e-06,3.303286651819556e-05,3.303286651819556e-05
Step-1,8,80,0.07999999821186066,0.0007999999797903001,0.10774596780538559,1.0103158387598631e-05,4.313602490579419e-05,4.313602490579419e-05
Step-1,9,90,0.09000000357627869,0.0008999999845400453,0.12115652859210968,1.1445125363489022e-05,5.4581150269283214e-05,5.4581150269283214e-05
Step-1,10,100,0.10000000149011612,0.0010000000474974513,0.13454656302928925,1.278516263027163e-05,6.736631289955484e-05,6.736631289955484e-05
Step-1,11,110,0.10999999940395355,0.0010999999940395355,0.14791375398635864,1.4123008300912475e-05,8.148932120046731e-05,8.148932120046731e-05
Step-1,12,120,0.11999999731779099,0.0012000000569969416,0.1612558215856552,1.5458488510857946e-05,9.694780971132526e-05,9.694780971132526e-05
Step-1,13,130,0.12999999523162842,0.0013000000035390258,0.1745704561471939,1.679130491035602e-05,0.00011373911462168128,0.00011373911462168128
Step-1,14,140,0.14000000059604645,0.00139999995008111,0.18785534799098969,1.8121280519645122e-05,0.0001318603951413264,0.0001318603951413264
Step-1,15,150,0.15000000596046448,0.001500000013038516,0.20110821723937988,1.9448190505587035e-05,0.00015130858564691343,0.00015130858564691343
Step-1,16,160,0.1599999964237213,0.0015999999595806003,0.21432676911354065,2.077173821350177e-05,0.0001720803238604152,0.0001720803238604152
Step-1,17,170,0.17000000178813934,0.0017000000225380063,0.22750870883464813,2.2091787805817234e-05,0.00019417211166623244,0.00019417211166623244
Step-1,18,180,0.18000000715255737,0.0017999999690800905,0.24065175652503967,2.3408010754543025e-05,0.00021758012242077546,0.00021758012242077546
Step-1,19,190,0.1899999976158142,0.0019000000320374966,0.2537536323070526,2.4720285004845022e-05,0.00024230040742562048,0.00024230040742562048
Step-1,20,200,0.20000000298023224,0.0020000000949949026,0.2668120265007019,2.6028299327119503e-05,0.00026832870675273996,0.00026832870675273996
Step-1,21,210,0.20999999344348907,0.002099999925121665,0.2798246741294861,2.7331788602036333e-05,0.0002956604953547763,0.0002956604953547763
Step-1,22,220,0.2199999988079071,0.002199999988079071,0.2927893102169037,2.8630717242465048e-05,0.00032429121259724134,0.00032429121259724134
Step-1,23,230,0.23000000417232513,0.002300000051036477,0.30570363998413086,2.9924666349833567e-05,0.0003542158789470749,0.0003542158789470749
Step-1,24,240,0.23999999463558197,0.002400000113993883,0.31856539845466614,3.121347157311952e-05,0.0003854293505201944,0.0003854293505201944
Step-1,25,250,0.25,0.0024999999441206455,0.3313722610473633,3.249682777159424e-05,0.00041792617829178866,0.00041792617829178866
Step-1,26,260,0.25999999046325684,0.0026000000070780516,0.3441220223903656,3.3774735435570385e-05,0.00045170091372735905,0.00045170091372735905
Step-1,27,270,0.27000001072883606,0.0027000000700354576,0.3568122982978821,3.50467380989157e-05,0.00048674765182627475,0.00048674765182627475
Step-1,28,280,0.2800000011920929,0.00279999990016222,0.36944085359573364,3.631259590919367e-05,0.0005230602477354684,0.0005230602477354684
Step-1,29,290,0.28999999165534973,0.002899999963119626,0.38200539350509644,3.7572336009594753e-05,0.0005606325837450632,0.0005606325837450632
Step-1,30,300,0.30000001192092896,0.003000000026077032,0.39450356364250183,3.882547230087477e-05,0.0005994580560459379,0.0005994580560459379
