frame,step,increment_number,step_time,U2,RF2
F0,D2A_INIT,1,1.0,0.0,0.0
F1,D2B_RELEASE_HOLD,1,0.5,0.0,0.0
F2,D2B_RELEASE_HOLD,2,1.0,0.0,0.0
F3,D2B_TINY_CONTINUATION,1,0.0625,6.25e-07,7.31553029564998e-07
F4,D2B_TINY_CONTINUATION,2,0.125,1.25e-06,6.857319928896655e-07
F5,D2B_TINY_CONTINUATION,3,0.1875,1.8750000000000003e-06,6.474426633007706e-07
F6,D2B_TINY_CONTINUATION,4,0.28125,2.8125e-06,9.225432033538342e-07
F7,D2B_TINY_CONTINUATION,5,0.421875,4.21875e-06,1.1788992312266323e-06
F8,D2B_TINY_CONTINUATION,6,0.6328125,6.328125000000001e-06,1.5823763531804595e-06
F9,D2B_TINY_CONTINUATION,7,0.94921875,9.4921875e-06,2.192725082148425e-06
F10,D2B_TINY_CONTINUATION,8,1.0,1.0000000000000003e-05,3.4631738102556665e-07
